('Betriebssysteme (M)', 'Heursch, Arnd Christian')
('IT-Trends & Innovation (M)', 'Colombo, Michael')
('Web Technologie (M)', 'Henöckl, Tobias')
('echatronik (M)', 'Klöden, Horst')
('Künstliche Intelligenz (M)', 'Dick de Sousa Guimarães, Gabriela')
('Geschäftsprozessmodellierung (M)', 'Schmid, Peter')
('Projektmanagement (M)', 'Berlak, Joachim')
('Verteilte Systeme (M)', 'Städter, Thomas')
('Algorithmen & Datenstrukturen (M)', 'Witte, Björn-Christopher')
('Praxisprojekt II (M)', 'Heininger, Robert')
('Verteilte Systeme (M)', 'Kluth, Stephan')
('allstudien/Wissenschaftliches Arbeiten (M)', 'Hoffmann, Peter')
('athematische Grundlagen der Informatik (M)', 'Wilderotter, Klaus')
('Konzepte des prozeduralen Programmierens (M)', 'Henöckl, Tobias')
('ormale Beschreibungsverfahren (M)', 'Stadel, Manfred')
('Hardware - Grundlagen moderner Informationstechnik (M)', 'Brandstätter, Markus')
('Sonderveranstaltung (M)', 'Bravo Ramirez, Laura')
('Konzepte des objektorientierten Programmierens (M)', 'Brandstätter, Markus')
('Datenbankmanagement (M)', 'Henöckl, Tobias')
('Praxisprojekt I (M)', 'Heininger, Robert')
('Quantitative Methoden der Informatik (M)', 'Rösch, Angi')
('Digitale Regelungstechnik (M)', 'aier, Andreas')
('Sonderveranstaltung (M)', 'Bach, Nico Jan')
('User Experience - Ergonomie (M)', 'Hoffmann, Peter')
('Informationssicherheit & Datenschutz (M)', 'Roidl, Thomas')
('Vorbereitungsseminar zur Bachelor-Thesis (M)', 'Brandstätter, Markus')
('Praxisprojekt III (M)', 'Heininger, Robert')
('Embedded Systems, IoT, SmartX (M)', 'Vasile, Teodor-Laurentiu')
('Software Engineering (M)', 'Brandstätter, Markus')
('Big Data & Data Science (M)', 'Lutz, Alexander Maximilian')
('IT-Infrastruktur (M)', 'Brandstätter, Markus')
('Konzepte des skriptsprachenorientierten Programmierens (M)', 'Tezcan, Kismet')
